assignment_workload,num_exams,time_pressure,coursework_diffculty_1,coursework_diffculty_2,coursework_diffculty_3,coursework_diffculty_4,coursework_diffculty_5
3.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0
40.0,0.56,30.0,0.0,1.0,0.0,0.0,0.0
4.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0
10.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0
20.0,3.0,20.0,0.0,0.0,0.0,1.0,0.0
80.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0
7.0,1.0,30.0,0.0,0.0,1.0,0.0,0.0
50.0,3.0,50.0,0.0,0.0,0.0,1.0,0.0
5.5,3.5,3.5,0.0,0.0,1.0,0.0,0.0
17.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0
2.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0
1.5,2.0,5.0,0.0,0.0,1.0,0.0,0.0
10.0,0.5,6.0,0.0,1.0,0.0,0.0,0.0
20.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0
20.0,1.5,5.0,0.0,1.0,0.0,0.0,0.0
60.0,1.0,60.0,0.0,0.0,1.0,0.0,0.0
60.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
10.0,2.0,20.0,0.0,0.0,0.0,0.0,1.0
27.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0
7.0,5.0,120.0,0.0,0.0,0.0,0.0,1.0
8.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
1.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0
24.0,1.5,28.0,0.0,0.0,0.0,1.0,0.0
6.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0
15.0,3.0,10.0,0.0,0.0,1.0,0.0,0.0
29.0,1.5,3.5,0.0,0.0,1.0,0.0,0.0
8.0,1.25,56.0,0.0,0.0,1.0,0.0,0.0
19.46060606060606,2.3641869918699188,15.10625,0.0,0.0,0.0,0.0,1.0
60.0,1.0,60.0,0.0,0.0,1.0,0.0,0.0
30.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
10.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0
42.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
24.0,2.0,24.0,0.0,0.0,0.0,1.0,0.0
5.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0
4.0,1.0,12.0,0.0,0.0,1.0,0.0,0.0
6.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0
19.46060606060606,4.0,15.10625,0.0,0.0,0.0,0.0,1.0
30.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0
28.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0
168.0,36.0,168.0,0.0,0.0,0.0,0.0,1.0
35.0,4.0,14.0,0.0,0.0,0.0,0.0,1.0
16.0,1.0,16.0,0.0,0.0,1.0,0.0,0.0
30.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
40.0,3.0,10.0,0.0,0.0,0.0,0.0,1.0
38.0,2.3641869918699188,15.10625,0.0,0.0,1.0,0.0,0.0
5.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
50.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0
20.0,1.0,20.0,0.0,0.0,1.0,0.0,0.0
14.0,2.0,10.0,0.0,0.0,1.0,0.0,0.0
90.0,2.0,80.0,0.0,0.0,0.0,1.0,0.0
80.0,10.0,11.5,0.0,0.0,0.0,0.0,1.0
30.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0
55.0,2.0,87.0,0.0,0.0,0.0,1.0,0.0
15.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
5.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0
8.0,9.0,8.0,0.0,0.0,1.0,0.0,0.0
35.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0
8.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0
3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
5.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0
